geneName,protein.coding,abundant
AC006042.7,N,N
AC006050.2,N,N
AC006076.1,N,N
AC006077.3,N,N
AC006088.1,N,N
AC006115.1,N,N
AC006116.1,N,N
AC006116.12,N,N
AC006116.15,N,N
AC006116.17,N,N
AC006116.19,N,N
AC006116.20,N,N
AC006116.21,N,N
AC006116.24,N,N
AC006126.3,N,N
AC006126.4,N,N
AC006128.2,N,N
AC006129.1,N,N
AC006129.2,N,N
AC006129.3,N,N
AC006130.1,N,N
AC006130.3,N,N
AC006145.1,N,N
AC006145.4,N,N
AC006150.1,N,N
AC006150.2,N,N
AC006159.4,N,N
AC006159.5,N,N
AC006160.5,N,N
AC006196.1,N,N
AC006227.1,N,N
AC006262.10,N,N
AC006262.4,N,N
AC006262.5,N,N
AC006272.1,N,N
AC006272.2,N,N
AC006273.4,N,N
AC006273.5,N,N
AC006277.2,N,N
AC006277.3,N,N
AC006288.1,N,N
AC006296.1,N,N
AC006296.2,N,N
AC006322.1,N,N
AC006328.1,N,N
AC006328.2,N,N
AC006328.3,N,N
AC006328.4,N,N
AC006359.1,N,N
AC006369.2,N,N
AC006369.3,N,N
AC006371.1,N,N
AC006372.4,N,N
AC006372.5,N,N
AC006372.6,N,N
AC006373.1,N,N
AC006377.1,N,N
AC006378.2,N,N
AC006380.1,N,N
AC006380.3,N,N
AC006386.1,N,N
AC006445.1,N,N
AC006449.1,N,N
AC006449.2,N,N
AC006452.1,N,N
AC006452.2,N,N
AC006458.3,N,N
AC006460.2,N,N
AC006461.1,N,N
AC006478.1,N,N
AC006480.1,N,N
AC006482.1,N,N
AC006483.1,N,N
AC006486.10,N,N
AC006486.9,N,N
AC006487.1,N,N
AC006534.1,N,N
AC006534.2,N,N
AC006534.3,N,N
AC006538.1,N,N
AC006538.4,N,N
AC006538.8,N,N
AC006539.1,N,N
AC006547.13,N,N
AC006547.15,N,N
AC006547.8,N,N
AC006548.28,N,N
AC006552.1,N,N
AC006557.1,N,N
AC006840.1,N,N
AC006925.1,N,N
AC006926.1,N,N
AC006942.4,N,N
AC006946.15,N,N
AC006946.16,N,N
AC006946.17,N,N
AC006947.1,N,N
AC006960.7,N,N
AC006988.1,N,N
AC006994.2,N,N
AC006994.3,N,N
AC007003.1,N,N
AC007006.1,N,N
AC007009.1,N,N
AC007009.2,N,N
AC007036.4,N,N
AC007036.5,N,N
AC007036.6,N,N
AC007038.7,N,N
AC007040.1,N,N
AC007040.11,N,N
AC007040.2,N,N
AC007040.3,N,N
AC007040.6,N,N
AC007040.8,N,N
AC007041.1,N,N
AC007050.1,N,N
AC007050.17,N,N
AC007056.1,N,N
AC007064.24,N,N
AC007078.4,N,N
AC007091.1,N,N
AC007096.1,N,N
AC007098.1,N,N
AC007099.1,N,N
AC007099.2,N,N
AC007106.1,N,N
AC007126.1,N,N
AC007128.1,N,N
AC007131.1,N,N
AC007131.2,N,N
AC007131.3,N,N
AC007161.5,N,N
AC007163.1,N,N
AC007163.2,N,N
AC007163.3,N,N
AC007163.6,N,N
AC007179.1,N,N
AC007179.2,N,N
AC007182.6,N,N
AC007191.4,N,N
AC007192.4,N,N
AC007192.6,N,N
AC007193.10,N,N
AC007193.6,N,N
AC007193.8,N,N
AC007193.9,N,N
AC007204.2,N,N
AC007216.1,N,N
AC007224.1,N,N
AC007228.11,N,N
AC007228.5,N,N
AC007228.9,N,N
AC007241.1,N,N
AC007242.1,N,N
AC007246.3,N,N
AC007249.3,N,N
AC007250.4,N,N
AC007251.2,N,N
AC007255.8,N,N
AC007271.3,N,N
AC007277.3,N,N
AC007278.2,N,N
AC007278.3,N,N
AC007279.1,N,N
AC007283.5,N,N
AC007285.1,N,N
AC007285.6,N,N
AC007285.7,N,N
AC007292.3,N,N
AC007292.4,N,N
AC007292.6,N,N
AC007292.7,N,N
AC007304.1,N,N
AC007308.7,N,N
AC007317.1,N,N
AC007319.1,N,N
AC007325.1,N,N
AC007325.2,N,N
AC007325.4,N,N
AC007326.1,N,N
AC007326.10,N,N
AC007327.5,N,N
AC007333.1,N,N
AC007339.1,N,N
AC007339.2,N,N
AC007349.4,N,N
AC007349.5,N,N
AC007349.7,N,N
AC007358.1,N,N
AC007359.6,N,N
AC007362.3,N,N
AC007364.1,N,N
AC007365.1,N,N
AC007365.2,N,N
AC007365.3,N,N
AC007367.1,N,N
AC007375.1,N,N
AC007381.1,N,N
AC007381.3,N,N
AC007383.3,N,N
AC007383.4,N,N
AC007384.1,N,N
AC007386.2,N,N
AC007386.4,N,N
AC007389.3,N,N
AC007389.4,N,N
AC007391.2,N,N
AC007392.3,N,N
AC007392.4,N,N
AC007395.3,N,N
AC007402.1,N,N
AC007403.1,N,N
AC007403.2,N,N
AC007403.3,N,N
AC007405.4,N,N
AC007405.6,N,N
AC007405.8,N,N
AC007422.1,N,N
AC007435.1,N,N
AC007436.1,N,N
AC007450.1,N,N
AC007461.2,N,N
AC007463.2,N,N
AC007486.1,N,N
AC007511.1,N,N
AC007528.1,N,N
AC007528.2,N,N
AC007535.1,N,N
AC007551.1,N,N
AC007556.3,N,N
AC007557.1,N,N
AC007557.2,N,N
AC007557.3,N,N
AC007557.4,N,N
AC007557.5,N,N
AC007560.2,N,N
AC007563.1,N,N
AC007563.3,N,N
AC007563.5,N,N
AC007566.10,N,N
AC007567.1,N,N
AC007611.1,N,N
AC007620.3,N,N
AC007631.1,N,N
AC007652.1,N,N
AC007679.3,N,N
AC007682.1,N,N
AC007682.2,N,N
AC007682.3,N,N
AC007682.4,N,N
AC007731.1,N,N
AC007731.2,N,N
AC007740.1,N,N
AC007743.1,N,N
AC007750.1,N,N
AC007750.5,N,N
AC007773.1,N,N
AC007773.2,N,N
AC007787.2,N,N
AC007787.3,N,N
AC007792.1,N,N
AC007795.1,N,N
AC007796.1,N,N
AC007842.1,N,N
AC007879.1,N,N
AC007879.2,N,N
AC007879.3,N,N
AC007879.4,N,N
AC007879.5,N,N
AC007879.6,N,N
AC007879.7,N,N
AC007880.1,N,N
AC007880.2,N,N
AC007881.1,N,N
AC007906.1,N,N
AC007919.1,N,N
AC007919.2,N,N
AC007948.1,N,N
AC007950.1,N,N
AC007950.2,N,N
AC007952.4,N,N
AC007952.5,N,N
AC007952.6,N,N
AC007966.1,N,N
AC007998.1,N,N
AC008041.1,N,N
AC008045.1,N,N
AC008060.1,N,N
AC008060.5,N,N
AC008060.7,N,N
AC008060.8,N,N
AC008063.2,N,N
AC008063.3,N,N
AC008067.2,N,N
AC008069.1,N,N
AC008073.7,N,N
AC008073.9,N,N
AC008074.1,N,N
AC008074.3,N,N
AC008074.4,N,N
AC008079.10,N,N
AC008079.9,N,N
AC008085.1,N,N
AC008088.4,N,N
AC008103.3,N,N
AC008103.4,N,N
AC008132.15,N,N
AC008154.4,N,N
AC008154.5,N,N
AC008163.4,N,N
AC008166.1,N,N
AC008169.1,N,N
AC008175.1,N,N
AC008268.1,N,N
AC008269.2,N,N
AC008271.1,N,N
AC008277.1,N,N
AC008278.2,N,N
AC008278.3,N,N
AC008281.1,N,N
AC008391.1,N,N
AC008410.1,N,N
AC008440.10,N,N
AC008440.5,N,N
AC008449.1,N,N
AC008463.1,N,N
AC008464.1,N,N
AC008514.1,N,N
AC008521.1,N,N
AC008522.1,N,N
AC008536.1,N,N
AC008547.1,N,N
AC008562.1,N,N
AC008581.1,N,N
AC008592.4,N,N
AC008592.5,N,N
AC008592.7,N,N
AC008592.8,N,N
AC008598.1,N,N
AC008622.1,N,N
AC008623.1,N,N
AC008625.1,N,N
AC008641.1,N,N
AC008671.1,N,N
AC008674.1,N,N
AC008686.1,N,N
AC008691.1,N,N
AC008694.3,N,N
AC008697.1,N,N
AC008703.1,N,N
AC008703.2,N,N
AC008737.1,N,N
AC008740.1,N,N
AC008746.12,N,N
AC008746.3,N,N
AC008752.1,N,N
AC008753.1,N,N
AC008753.4,N,N
AC008753.6,N,N
AC008756.1,N,N
AC008759.1,N,N
AC008780.1,N,N
AC008781.1,N,N
AC008781.7,N,N
AC008798.1,N,N
AC008810.1,N,N
AC008834.1,N,N
AC008836.1,N,N
AC008865.1,N,N
AC008869.1,N,N
AC008869.2,N,N
AC008906.1,N,N
AC008914.1,N,N
AC008937.2,N,N
AC008937.3,N,N
AC008938.1,N,N
AC008940.1,N,N
AC008949.1,N,N
AC008967.1,N,N
AC008982.2,N,N
AC008984.2,N,N
AC008985.1,N,N
AC008991.1,N,N
AC008992.1,N,N
AC008993.2,N,N
AC008993.3,N,N
AC009005.2,N,N
AC009009.1,N,N
AC009014.3,N,N
AC009022.1,N,N
AC009035.1,N,N
AC009052.12,N,N
AC009060.1,N,N
AC009060.2,N,N
AC009060.3,N,N
AC009065.1,N,N
AC009065.2,N,N
AC009065.3,N,N
AC009065.4,N,N
AC009080.1,N,N
AC009081.1,N,N
AC009084.1,N,N
AC009095.4,N,N
AC009108.1,N,N
AC009108.2,N,N
AC009110.1,N,N
AC009120.10,N,N
AC009120.11,N,N
AC009120.4,N,N
AC009120.5,N,N
AC009120.6,N,N
AC009120.9,N,N
AC009121.1,N,N
AC009121.2,N,N
AC009127.1,N,N
AC009133.12,N,N
AC009133.15,N,N
AC009133.17,N,N
AC009133.21,N,N
AC009133.22,N,N
AC009133.23,N,N
AC009133.24,N,N
AC009134.1,N,N
AC009158.1,N,N
AC009159.1,N,N
AC009166.5,N,N
AC009166.7,N,N
AC009196.1,N,N
AC009227.2,N,N
AC009227.3,N,N
AC009228.1,N,N
AC009229.5,N,N
AC009229.6,N,N
AC009236.2,N,N
AC009260.1,N,N
AC009262.2,N,N
AC009264.1,N,N
AC009276.4,N,N
AC009286.1,N,N
AC009297.1,N,N
AC009299.1,N,N
AC009299.2,N,N
AC009299.3,N,N
AC009303.1,N,N
AC009303.2,N,N
AC009305.1,N,N
AC009305.2,N,N
AC009312.1,N,N
AC009313.1,N,N
AC009336.1,N,N
AC009336.19,N,N
AC009365.4,N,N
AC009403.2,N,N
AC009404.2,N,N
AC009406.1,N,N
AC009406.2,N,N
AC009410.1,N,N
AC009411.1,N,N
AC009411.2,N,N
AC009473.1,N,N
AC009478.1,N,N
AC009478.2,N,N
AC009480.1,N,N
AC009480.3,N,N
AC009487.4,N,N
AC009487.5,N,N
AC009491.1,N,N
AC009491.2,N,N
AC009495.1,N,N
AC009495.2,N,N
AC009495.3,N,N
AC009495.4,N,N
AC009498.1,N,N
AC009499.1,N,N
AC009501.4,N,N
AC009502.4,N,N
AC009505.2,N,N
AC009505.4,N,N
AC009506.1,N,N
AC009508.1,N,N
AC009518.4,N,N
AC009518.8,N,N
AC009531.2,N,N
AC009542.2,N,N
AC009677.1,N,N
AC009695.1,N,N
AC009729.1,N,N
AC009758.1,N,N
AC009784.1,N,N
AC009784.3,N,N
AC009800.1,N,N
AC009831.1,N,N
AC009835.1,N,N
AC009878.2,N,N
AC009892.1,N,N
AC009892.10,N,N
AC009892.3,N,N
AC009892.4,N,N
AC009892.6,N,N
AC009892.7,N,N
AC009892.8,N,N
AC009941.1,N,N
AC009948.5,N,N
AC009950.1,N,N
AC009950.2,N,N
AC009955.8,N,N
AC009961.3,N,N
AC009965.2,N,N
AC009970.1,N,N
AC009973.1,N,N
AC009977.1,N,N
AC009987.1,N,N
AC010082.2,N,N
AC010084.1,N,N
AC010086.2,N,N
AC010091.1,N,N
AC010092.1,N,N
AC010096.1,N,N
AC010096.2,N,N
AC010103.1,N,N
AC010105.1,N,N
AC010127.3,N,N
AC010132.10,N,N
AC010136.2,N,N
AC010139.1,N,N
AC010145.4,N,N
AC010146.1,N,N
AC010148.1,N,N
AC010149.4,N,N
AC010150.2,N,N
AC010168.1,N,N
AC010184.1,N,N
AC010196.1,N,N
AC010203.1,N,N
AC010207.1,N,N
AC010209.1,N,N
AC010226.4,N,N
AC010235.1,N,N
AC010287.1,N,N
AC010295.1,N,N
AC010297.1,N,N
AC010311.1,N,N
AC010319.1,N,N
AC010323.1,N,N
AC010329.1,N,N
AC010331.1,N,N
AC010364.1,N,N
AC010368.1,N,N
AC010376.1,N,N
AC010412.1,N,N
AC010455.1,N,N
AC010458.1,N,N
AC010468.2,N,N
AC010480.1,N,N
AC010504.2,N,N
AC010524.2,N,N
AC010524.4,N,N
AC010525.1,N,N
AC010525.4,N,N
AC010528.1,N,N
AC010543.1,N,N
AC010546.1,N,N
AC010547.9,N,N
AC010608.1,N,N
AC010609.1,N,N
AC010633.1,N,N
AC010641.1,N,N
AC010642.1,N,N
AC010646.3,N,N
AC010649.1,N,N
AC010655.1,N,N
AC010723.1,N,N
AC010723.2,N,N
AC010724.1,N,N
AC010729.1,N,N
AC010729.2,N,N
AC010729.3,N,N
AC010731.2,N,N
AC010731.3,N,N
AC010731.4,N,N
AC010739.1,N,N
AC010744.1,N,N
AC010745.1,N,N
AC010745.2,N,N
AC010745.3,N,N
AC010745.4,N,N
AC010746.3,N,N
AC010754.1,N,N
AC010761.10,N,N
AC010761.13,N,N
AC010761.14,N,N
AC010761.6,N,N
AC010761.8,N,N
AC010761.9,N,N
AC010872.1,N,N
AC010874.1,N,N
AC010880.1,N,N
AC010883.5,N,N
AC010884.1,N,N
AC010884.2,N,N
AC010887.1,N,N
AC010888.1,N,N
AC010890.1,N,N
AC010891.2,N,N
AC010894.3,N,N
AC010894.5,N,N
AC010900.1,N,N
AC010907.2,N,N
AC010907.5,N,N
AC010928.1,N,N
AC010930.1,N,N
AC010931.1,N,N
AC010967.2,N,N
AC010967.3,N,N
AC010969.1,N,N
AC010970.1,N,N
AC010971.1,N,N
AC010974.1,N,N
AC010974.3,N,N
AC010975.1,N,N
AC010976.2,N,N
AC010982.2,N,N
AC010983.1,N,N
AC010987.5,N,N
AC010987.6,N,N
AC010999.1,N,N
AC011043.1,N,N
AC011043.2,N,N
AC011073.1,N,N
AC011155.1,N,N
AC011193.1,N,N
AC011196.3,N,N
AC011198.1,N,N
AC011239.1,N,N
AC011239.2,N,N
AC011243.1,N,N
AC011247.3,N,N
AC011284.3,N,N
AC011286.1,N,N
AC011288.2,N,N
AC011290.4,N,N
AC011294.3,N,N
AC011295.1,N,N
AC011298.2,N,N
AC011306.1,N,N
AC011309.1,N,N
AC011313.1,N,N
AC011330.13,N,N
AC011343.1,N,N
AC011357.1,N,N
AC011363.1,N,N
AC011366.3,N,N
AC011372.1,N,N
AC011376.1,N,N
AC011379.1,N,N
AC011380.1,N,N
AC011404.1,N,N
AC011410.1,N,N
AC011431.2,N,N
AC011450.1,N,N
AC011453.1,N,N
AC011453.2,N,N
AC011453.3,N,N
AC011453.4,N,N
AC011456.1,N,N
